scenario,model,accuracy,precision,recall,f1,roc_auc
original_train_test,Logistic,0.9515032830319088,0.3333333333333333,0.007177033492822967,0.01405152224824356,0.6019813928117909
original_train_test,XGBoost,0.9748876857504896,0.9464285714285714,0.507177033492823,0.660436137071651,0.9786081610129203
original_train_test,LightGBM,0.9767307913834812,0.9576271186440678,0.5406698564593302,0.691131498470948,0.9818065429159908
original_train_test,CatBoost,0.9751180739546135,0.9469026548672567,0.5119617224880383,0.6645962732919255,0.9753498474493143
synthetic_train_test,Logistic,0.9525400299504665,0.0,0.0,0.0,0.6069496317395536
synthetic_train_test,XGBoost,0.9523096417463426,0.0,0.0,0.0,0.6447400631907452
synthetic_train_test,LightGBM,0.9524248358484045,0.0,0.0,0.0,0.6418689173624262
synthetic_train_test,CatBoost,0.9525400299504665,0.0,0.0,0.0,0.6437894722011208
synthetic_train_original_test,Logistic,0.9394770187766386,0.14361702127659576,0.05164992826398852,0.0759760816039395,0.7087123490700178
synthetic_train_original_test,XGBoost,0.951572399493146,0.23809523809523808,0.0023912003825920613,0.004734848484848485,0.6757077470424161
synthetic_train_original_test,LightGBM,0.9511346619053105,0.17391304347826086,0.003825920612147298,0.007487131492746842,0.6522087597922358
synthetic_train_original_test,CatBoost,0.9518258265176823,0.0,0.0,0.0,0.6033911833199529
