model,train_csv,test_csv,target,train_rows,test_rows,test_accuracy,test_balanced_accuracy,test_auroc
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.8448844884488449,0.8402570626425689,0.9094577996139673
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.8448844884488449,0.8391603790138621,0.9071328303211089
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.8316831683168316,0.8236752061765222,0.90278996315143
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.834983498349835,0.8294656957360941,0.9008597999649062
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.8151815181518152,0.8117213546236182,0.8592735567643446
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.6666666666666666,0.6564309527987366,0.693805930865064
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.5973597359735974,0.5913098789261274,0.609010352693455
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.5907590759075908,0.5846639761361643,0.6334883312861905
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.594059405940594,0.5866160729952623,0.6347166169503422
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_100.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,303,303,0.5742574257425742,0.5694200736971399,0.5775574662221442
