model,train_csv,test_csv,target,train_rows,test_rows,test_accuracy,test_balanced_accuracy,test_auroc
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.8514851485148515,0.8458062818038252,0.9070889629759605
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.8283828382838284,0.822819792946131,0.902439024390244
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.834983498349835,0.8289173539217407,0.9043253202316196
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.8316831683168316,0.8258685734339357,0.9085365853658537
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.8085808580858086,0.8045271100193017,0.8652833830496578
logistic,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.5478547854785478,0.5110326373047903,0.4923232145990525
xgboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.5478547854785478,0.5406430952798736,0.556369538515529
lightgbm,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.5412541254125413,0.5334488506755571,0.5520266713458502
catboost,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.5544554455445545,0.5412572381119495,0.5372433760308826
mlp,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/synthetic_1000.csv,/home/zhu11/TabPFN/sync_data_proj/datasets/EHR_datasets/heart/dataset.csv,label_heart_disease,3030,303,0.5313531353135313,0.5303342691700299,0.5374188454114757
