f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,label
1,43.17782,2.2435188,2,3,5,0.74021125,1,0,0,0,2,559,1,0
0,53.297386,0.16925737,2,1,1,0.0021727304,0,0,0,1,1,62,25,0
0,19.584946,0.6657951,1,8,4,0.99852383,0,1,1,0,2,1998,10,0
1,40.566227,1.4994988,2,3,5,0.0027015428,0,0,0,0,1,300,1,0
1,37.767372,7.000073,2,11,8,11.493172,1,1,7,1,2,300,6,0
1,33.99678,5.4881887,1,8,4,1.5031661,0,0,0,1,2,60,4,0
1,41.569233,1.7524719,2,4,4,0.21038748,1,0,0,0,2,160,1,0
1,27.971737,2.9870017,2,9,4,0.7570442,0,0,0,1,2,300,77,0
1,17.062368,3.295266,2,3,4,0.33731714,0,0,0,1,2,140,9,0
1,27.828875,4.0009184,1,3,8,5.750863,1,1,2,1,2,75,1,0
1,21.59589,0.79186606,1,13,4,0.6643847,0,0,0,0,2,160,4,0
0,24.508638,1.0522473,1,1,1,0.50001013,1,1,3,0,2,180,146,0
1,22.59091,1.515348,1,6,4,0.54532874,0,0,0,1,2,120,79,0
1,23.07405,0.0059120418,2,4,4,1.001601,0,1,11,0,1,0,1,0
1,35.006226,3.36897,2,8,8,8.275327,0,0,0,1,2,0,9,0
0,15.836103,7.607333,2,11,4,0.12732245,0,1,1,1,2,0,156,0
0,50.223984,0.8405175,2,6,4,0.5041367,0,0,0,1,2,240,116,0
1,29.517012,0.5840149,2,9,4,0.28835025,0,1,1,0,2,340,2803,0
0,20.77519,9.528558,2,3,4,0.04752209,0,0,0,0,2,200,1005,0
0,57.545547,2.0056982,2,1,1,6.493667,0,1,1,0,2,0,11,0
1,23.429733,0.998466,2,8,4,0.50131357,0,0,0,1,1,280,3,0
1,19.677177,9.991851,1,4,8,0.8361515,1,0,0,1,2,140,1,0
1,27.844604,3.991601,1,3,8,5.73505,1,1,2,1,2,75,1,0
1,25.91282,0.8728938,2,4,4,0.37711015,0,1,2,1,2,174,3,0
1,34.253872,1.7487483,2,9,5,0.2538474,1,0,0,1,2,163,1,0
0,26.514118,2.7203522,1,8,4,0.08658578,0,0,0,0,1,80,1,0
1,34.088753,6.500635,2,6,4,0.12314417,1,0,0,1,2,443,1,0
1,34.14957,2.7434626,2,3,5,2.5006664,0,0,0,1,2,232,201,0
0,24.521097,1.7551425,1,8,4,0.1699598,0,0,0,0,2,132,2,0
0,24.485268,1.7573335,1,8,4,0.16480829,0,0,0,0,2,132,1,0
0,28.570736,3.7504153,2,8,4,0.25378957,0,1,1,1,2,40,151,0
1,43.21943,25.172503,2,11,8,0.21094681,1,1,1,0,2,759,90,0
0,30.441072,1.3698525,2,9,8,0.04082229,0,1,3,0,2,0,40,0
0,27.687279,2.0495343,2,9,4,0.256959,0,0,0,1,2,180,52,0
1,26.32446,12.984932,2,10,2,0.0033941488,0,0,0,1,2,140,1112,0
1,74.82003,19.00038,1,1,1,0.031035684,0,1,2,0,2,0,344,0
0,23.748283,0.71765494,2,9,4,0.2491541,0,1,1,1,2,240,9,0
1,37.480858,0.832448,2,10,4,0.04069116,0,0,0,0,2,120,11,0
1,52.39812,1.5062757,2,2,4,3.7442203,0,0,0,1,2,0,345,0
1,18.186382,10.240266,2,8,8,1.0843314,0,0,0,0,2,320,17,0
0,27.672785,1.5059779,2,7,4,2.000974,1,0,0,0,1,368,1,0
1,20.009584,1.238153,1,4,4,0.12214591,0,0,0,0,2,140,4,0
1,20.107916,0.26328346,2,11,4,0.12818648,0,0,0,0,2,200,1,0
0,16.937983,0.50518537,2,3,4,0.16369535,0,1,6,1,2,240,36,0
0,25.246574,13.486008,1,1,1,1.9990002,0,1,1,1,2,200,1,0
1,22.984886,0.7616086,2,7,4,0.50017345,1,0,0,1,1,320,1,0
1,29.234457,12.988998,2,2,8,0.49672177,0,0,0,0,2,228,1,0
1,18.840149,3.5383217,1,1,1,0.0023529748,0,0,0,1,2,180,2,0
1,33.59365,0.24489471,2,3,5,3.9963975,0,0,0,1,1,420,1,0
0,52.152016,0.0012447595,1,1,1,0.0033884267,0,0,0,0,2,0,9,0
1,49.154068,2.2912295,2,1,1,0.28733018,0,0,0,0,2,200,3,0
1,20.015512,6.990695,2,8,4,0.49993053,0,0,0,0,2,0,1,0
0,18.27833,9.998941,2,9,4,1.0029085,0,1,1,0,2,120,4,0
0,30.573442,10.655598,2,11,8,0.087444805,0,1,12,1,2,129,3,0
1,58.519714,2.7077267,2,8,4,2.4115326,0,0,0,1,2,320,1,0
0,19.585377,0.66985726,1,8,4,0.9991714,0,1,1,0,2,1999,6,0
1,21.148706,0.012015557,2,8,4,0.5045222,0,0,0,1,1,0,3,0
1,30.66676,2.50149,2,13,8,2.2487824,0,0,0,1,1,340,2,0
